CRITICAL -- 2010-10-06 02:42:06,100 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:42:08,328 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:43:03,650 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:43:05,685 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:43:06,508 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:43:06,885 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:43:06,886 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:43:06,909 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:43:07,733 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:44:39,152 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:44:41,220 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:44:41,667 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:44:42,006 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:44:42,007 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:44:42,029 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:44:45,719 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:46:18,779 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:46:20,828 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:46:21,514 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:46:21,842 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:46:21,843 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:46:21,867 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:46:24,553 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:52:24,734 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:52:28,904 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:52:29,495 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:52:29,876 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:52:29,878 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:52:29,900 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 'AccountsSelectorLine' object has no attribute 'tableV'
CRITICAL -- 2010-10-06 02:52:29,901 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 'AccountsSelectorLine' object has no attribute 'tableV'
CRITICAL -- 2010-10-06 02:52:30,831 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 'AccountsSelectorLine' object has no attribute 'tableV'
INFO -- 2010-10-06 02:53:04,680 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:53:06,321 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:53:06,964 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:53:07,193 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:53:07,195 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:53:07,218 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:53:10,782 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:55:54,776 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:55:56,855 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:55:57,514 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:55:58,002 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:55:58,003 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:55:58,039 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:55:59,141 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:59:57,050 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:59:58,718 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:59:59,310 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:59:59,333 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 03:00:01,569 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
